,count,mean,std,min,25%,50%,75%,max
AdmissionID,58121.0,24972647.881454207,2884472.0372225503,20000094.0,22469497.0,24951500.0,27463094.0,29999828.0
PatientID_mean,58121.0,14998793.79905714,2890829.9724478195,10000032.0,12491246.0,15000407.0,17513748.0,19999987.0
PatientID_std,58121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PatientID_min,58121.0,14998793.79905714,2890829.9724478195,10000032.0,12491246.0,15000407.0,17513748.0,19999987.0
PatientID_max,58121.0,14998793.79905714,2890829.9724478195,10000032.0,12491246.0,15000407.0,17513748.0,19999987.0
AdmissionID_mean,58121.0,24972647.881454207,2884472.0372225503,20000094.0,22469497.0,24951500.0,27463094.0,29999828.0
AdmissionID_std,58121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AdmissionID_min,58121.0,24972647.881454207,2884472.0372225503,20000094.0,22469497.0,24951500.0,27463094.0,29999828.0
AdmissionID_max,58121.0,24972647.881454207,2884472.0372225503,20000094.0,22469497.0,24951500.0,27463094.0,29999828.0
Outcome_mean,58121.0,0.08669295009344218,0.2780816832453369,0.0,0.0,0.0,0.0,1.0
Outcome_std,58121.0,0.0044644096877797905,0.04729191228693347,0.0,0.0,0.0,0.0,0.7071067811865476
Outcome_min,58121.0,0.0824314791555548,0.27502332952927927,0.0,0.0,0.0,0.0,1.0
Outcome_max,58121.0,0.09142994786738012,0.2882220355791794,0.0,0.0,0.0,0.0,1.0
LOS_mean,58121.0,84.61775814176755,118.46804174064782,0.03,26.759444444444448,47.14972222222223,91.4036111111111,2645.5747222222226
LOS_std,58121.0,2.2910490451005248,15.201334229039231,0.0,0.0,0.0,0.0,1185.7282562993073
LOS_min,58121.0,81.53432614239642,117.84768806644534,0.03,25.703888888888887,44.87694444444443,85.19722222222222,2645.5747222222226
LOS_max,58121.0,86.39088378841842,120.70981949634646,0.03,26.922222222222217,47.71694444444445,93.34472222222225,2645.5747222222226
Readmission_mean,58121.0,0.22163479145723086,0.40252264278432864,0.0,0.0,0.0,0.0,1.0
Readmission_std,58121.0,0.02506551594548956,0.11206382868799437,0.0,0.0,0.0,0.0,0.7071067811865476
Readmission_min,58121.0,0.19732970871113711,0.3979867083292407,0.0,0.0,0.0,0.0,1.0
Readmission_max,58121.0,0.24581476574732025,0.4305729397737189,0.0,0.0,0.0,0.0,1.0
Age_mean,58121.0,63.75551005660605,16.96624305105444,18.0,53.0,65.0,77.0,91.0
Age_std,58121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Age_min,58121.0,63.75551005660605,16.96624305105444,18.0,53.0,65.0,77.0,91.0
Age_max,58121.0,63.75551005660605,16.96624305105444,18.0,53.0,65.0,77.0,91.0
Sex_mean,58121.0,0.5585072521119733,0.49656937480930813,0.0,0.0,1.0,1.0,1.0
Sex_std,58121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sex_min,58121.0,0.5585072521119733,0.49656937480930813,0.0,0.0,1.0,1.0,1.0
Sex_max,58121.0,0.5585072521119733,0.49656937480930813,0.0,0.0,1.0,1.0,1.0
Capillary refill rate_mean,57964.0,0.10759321877947231,0.21276564919825894,0.0,0.0,0.0,0.125,1.0
Capillary refill rate_std,58121.0,0.1350901472809281,0.23556822935423474,0.0,0.0,0.0,0.3535533905932738,0.7071067811865476
Capillary refill rate_min,57964.0,0.022203436615830515,0.14734591468791772,0.0,0.0,0.0,0.0,1.0
Capillary refill rate_max,57964.0,0.2826236974673936,0.4502788480219262,0.0,0.0,0.0,1.0,1.0
Diastolic blood pressure_mean,58117.0,76.14930653025876,125.90041135482406,0.0,69.875,76.0,81.42857142857143,27425.333333333332
Diastolic blood pressure_std,58121.0,11.60160218283695,241.98805260663738,0.0,4.949747468305833,9.31109169600582,13.79613472438325,47386.893381327856
Diastolic blood pressure_min,58117.0,64.69461603317446,13.211106989172338,-14.0,56.0,65.0,73.0,140.0
Diastolic blood pressure_max,58117.0,88.91345045339574,504.29774414943785,0.0,79.0,87.0,93.0,88144.0
Fraction inspired oxygen_mean,57727.0,52.65043676434317,14.507365205513633,0.0,45.0,50.0,58.57142857142857,2065.0
Fraction inspired oxygen_std,58121.0,11.215247632455188,18.23325607945015,0.0,4.580626906564521,8.94427190999916,16.583123951777,2793.0717856868628
Fraction inspired oxygen_min,57727.0,42.59394130995895,11.357272092275418,0.0,40.0,40.0,50.0,100.0
Fraction inspired oxygen_max,57727.0,65.62145962894313,38.519345990272726,0.0,50.0,60.0,80.0,7040.0
Glascow coma scale eye opening_mean,58086.0,3.6169004948327848,0.5603924993252056,1.0,3.5,3.875,4.0,4.0
Glascow coma scale eye opening_std,58121.0,0.48938850168467085,0.6309116941656229,0.0,0.0,0.0,0.816496580927726,2.1213203435596424
Glascow coma scale eye opening_min,58086.0,2.993303033433185,1.198822949170902,1.0,2.0,3.0,4.0,4.0
Glascow coma scale eye opening_max,58086.0,3.9379196364011984,0.3550963993779904,1.0,4.0,4.0,4.0,4.0
Glascow coma scale motor response_mean,58086.0,5.647945820892831,0.7094998844979958,1.0,5.625,6.0,6.0,6.0
Glascow coma scale motor response_std,58121.0,0.4938877177609665,0.8981013520024217,0.0,0.0,0.0,0.5773502691896258,3.5355339059327378
Glascow coma scale motor response_min,58086.0,4.998622731811452,1.6893036788835374,1.0,5.0,6.0,6.0,6.0
Glascow coma scale motor response_max,58086.0,5.9532589608511515,0.38808318409978254,1.0,6.0,6.0,6.0,6.0
Glascow coma scale total_mean,58086.0,13.415510478715468,2.04484072329966,3.0,12.5,14.25,15.0,15.0
Glascow coma scale total_std,58121.0,1.8670347558343356,2.200547935160659,0.0,0.0,0.7071067811865476,3.25868802112869,8.48528137423857
Glascow coma scale total_min,58086.0,11.069328237441036,4.202697181535578,3.0,8.0,13.0,15.0,15.0
Glascow coma scale total_max,58086.0,14.711100781599697,1.32519166418286,3.0,15.0,15.0,15.0,15.0
Glascow coma scale verbal response_mean,58086.0,4.141358133998358,1.0077306588159913,1.0,3.625,4.5,5.0,5.0
Glascow coma scale verbal response_std,58121.0,0.9670727776905875,1.0176757275704889,0.0,0.0,0.5773502691896257,1.9748417658131499,2.8284271247461903
Glascow coma scale verbal response_min,58086.0,3.001962607168681,1.8660201223161408,1.0,1.0,4.0,5.0,5.0
Glascow coma scale verbal response_max,58086.0,4.8258444375581036,0.745457591864057,1.0,5.0,5.0,5.0,5.0
Glucose_mean,58071.0,203.88160773429243,3987.811987618247,0.0,125.0,149.5,179.66666666666666,500109.5
Glucose_std,58121.0,138.7267312563697,6855.611938166738,0.0,21.73323108360405,45.254833995939045,72.12489168102785,707033.2420813041
Glucose_min,58071.0,110.31570456854539,45.26398415799782,0.0,84.0,96.0,126.0,709.0
Glucose_max,58071.0,388.69329424325394,13119.021679329073,0.0,156.0,203.0,263.0,999999.0
Heart Rate_mean,58120.0,91.7996833890473,8.786413485114158,0.0,89.25,93.5,96.0,176.0
Heart Rate_std,58121.0,7.3791904800521335,8.55265346959982,0.0,2.1213203435596424,4.898979485566355,9.899494936611665,107.48023074035522
Heart Rate_min,58120.0,83.35894012388162,16.278150624839377,0.0,79.0,88.0,93.0,176.0
Heart Rate_max,58120.0,98.341159669649,10.45358483550895,0.0,96.0,98.0,99.0,257.0
Height_mean,32105.0,234.13959777812389,11695.102315495982,0.0,163.0,170.0,178.0,2095680.0
Height_std,58121.0,0.5929583124431044,3.5575505119442106,0.0,0.0,0.0,0.0,201.52543263816605
Height_min,32105.0,233.35467746456942,11695.107404851835,0.0,160.0,170.0,178.0,2095680.0
Height_max,32105.0,234.9209786637595,11695.098313194416,0.0,163.0,170.0,178.0,2095680.0
Mean blood pressure_mean,58116.0,240.85151488894132,36872.207744872525,-17.0,82.66666666666667,87.66666666666667,91.875,8888890.0
Mean blood pressure_std,58121.0,10.663057164065256,290.370535882454,0.0,3.605551275463989,7.3290030505032355,11.60254487683834,44007.16685098008
Mean blood pressure_min,58116.0,230.2391251978801,36871.934802218995,-18.0,70.0,79.0,86.0,8888890.0
Mean blood pressure_max,58116.0,251.98003992015967,36876.02971058688,-17.0,91.0,96.0,98.0,8888890.0
Oxygen saturation_mean,58116.0,102.4922590697095,1037.1296297612969,0.0,98.0,98.5,99.0,250072.5
Oxygen saturation_std,58121.0,9.973729541913848,2073.969557813175,0.0,0.0,0.7071067811865476,1.4142135623730951,499951.00000066677
Oxygen saturation_min,58116.0,96.52269082524606,5.558457946838638,0.0,96.0,98.0,99.0,100.0
Oxygen saturation_max,58116.0,116.41735494528184,4147.91831764072,0.0,99.0,99.0,99.0,999999.0
Respiratory rate_mean,58120.0,25.65571776783666,13.081861700412821,0.0,22.0,26.0,29.5,2628.0
Respiratory rate_std,58121.0,7.269494372174696,9.948745268543457,0.0,2.9489707647632883,7.010196655077313,10.606601717798213,1502.7681125176964
Respiratory rate_min,58120.0,17.636355815554026,14.218030832950555,0.0,9.0,17.0,25.0,2628.0
Respiratory rate_max,58120.0,32.639263592567104,22.704852538971142,0.0,29.0,32.0,36.0,3024.0
Systolic blood pressure_mean,58117.0,113.63134659516888,18.595045751516363,0.0,99.0,111.5,124.5,246.0
Systolic blood pressure_std,58121.0,20.292171555137156,14.88610670561466,0.0,6.730527468185536,20.506096654409877,30.4276072952555,118.08683245815344
Systolic blood pressure_min,58117.0,95.35647285647916,19.131554161058023,-9.0,87.0,93.0,98.0,246.0
Systolic blood pressure_max,58117.0,136.45224288934392,28.884951103237356,0.0,111.0,140.0,158.0,352.0
Temperature_mean,58097.0,93.02632788759685,122.41467636870307,29.0,90.31666666666666,98.75,99.525,29343.6375
Temperature_std,58121.0,11.557715581526566,343.67160362819817,0.0,0.6027713773341742,1.2727922061357886,22.18931531809205,82743.36037063962
Temperature_min,58097.0,79.96697626383462,28.960444221828116,0.0,37.7,97.8,98.6,1698.0
Temperature_max,58097.0,103.65090469387403,971.2202880106222,29.0,99.3,100.1,101.1,234123.0
Weight_mean,58087.0,131.29361208044256,4548.321608820791,-16.133333333333336,76.5,86.15,96.89999999999999,551563.75
Weight_std,58121.0,86.19609420728293,6925.259629070843,0.0,6.193006808758837,15.142985174660911,24.11234123846127,779892.1106012036
Weight_min,58087.0,70.98846413138912,18.92460149219843,-176.0,59.0,69.0,80.6,285.0
Weight_max,58087.0,220.21632120784344,11209.062673277798,0.0,88.0,102.9,119.0,1103030.0
pH_mean,47949.0,235.44157316379804,12010.68877819021,0.0,7.34,7.382,7.42,999999.0
pH_std,58121.0,188.86507320462763,10104.019821063763,0.0,0.0,0.020615528128088426,0.06244997998398415,707100.8485606534
pH_min,47949.0,111.60240714092056,10211.122663372185,0.0,7.28,7.34,7.39,999999.0
pH_max,47949.0,549.6539150660076,23279.840063396998,0.0,7.38,7.42,7.47,999999.0
